title,rating,genre,popularity,member,duration,studios,aired
Nonton Jaku-Chara Tomozaki-kun 2nd Stage Sub Indo,7.05,"['Drama', 'Romance', 'School']",Popularity: #1977,Members: 34608,Duration: 23 min per ep,Studios: Project No.9,"Aired: Jan 3, 2024 to Mar 27, 2024"
Nonton Jaku-Chara Tomozaki-kun OVA Sub Indo,6.7,"['Drama', 'Romance', 'School']",Popularity: #3159,Members: 25518,Duration: 13 min per ep,Studios: Project No.9,"Aired: May 7, 2021 to Jun 2, 2021"
Nonton Jashin-chan Dropkick Sub Indo,7.04,"['CGDCT', 'Comedy', 'Gag Humor', 'Mythology', 'Supernatural']",Popularity: #1769,Members: 43686,Duration: 23 min per ep,Studios: Nomad,"Aired: Jul 10, 2018 to Sep 17, 2018"
Nonton Jashin-chan Dropkick “Seikimatsu-hen” Sub Indo,6.9,"['CGDCT', 'Comedy', 'Gag Humor', 'Mythology', 'Supernatural']",Popularity: #7221,Members: 2520,Duration: 23 min,Studios: Makaria,"Aired: Dec 27, 2023"
Nonton Jashin-chan Dropkick X Sub Indo,7.42,"['CGDCT', 'Comedy', 'Gag Humor', 'Mythology', 'Supernatural']",Popularity: #3550,Members: 12848,Duration: 23 min per ep,Studios: Nomad,"Aired: Jul 6, 2022 to Sep 21, 2022"
Nonton Jashin-chan Dropkick’ Sub Indo,7.04,"['CGDCT', 'Comedy', 'Gag Humor', 'Mythology', 'Supernatural']",Popularity: #1768,Members: 43601,Duration: 23 min per ep,Studios: Nomad,"Aired: Jul 10, 2018 to Sep 17, 2018"
Nonton Jian Wangchao Sub Indo,5.78,"['Action', 'Historical']",Popularity: #9931,Members: 531,Duration: 14 min per ep,Studios: EMT Squared,"Aired: Apr 26, 2017 to Jul 5, 2017"
Nonton Jibaku Shounen Hanako-kun Sub Indo,7.83,"['School', 'Shounen', 'Supernatural']",Popularity: #367,Members: 290675,Duration: 24 min per ep,Studios: Lerche,"Aired: Jan 10, 2020 to Mar 27, 2020"
Nonton Jibaku-kun Sub Indo,7.34,"['Adventure', 'Comedy', 'Fantasy']",Popularity: #5652,Members: 6337,Duration: 22 min per ep,Studios: Trans Arts,"Aired: Oct 5, 1999 to Mar 28, 2000"
Nonton Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou Sub Indo,6.5,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",Popularity: #1740,Members: 61406,Duration: 23 min per ep,Studios: Studio Gokumi,"Aired: Jul 5, 2023 to Sep 20, 2023"
Nonton Jigoku Shoujo Sub Indo,7.61,"['Horror', 'Mystery', 'Psychological', 'Supernatural', 'Suspense']",Popularity: #652,Members: 133805,Duration: 25 min per ep,Studios: Studio Deen,"Aired: Oct 5, 2005 to Apr 5, 2006"
Nonton Jigoku Shoujo Futakomori Sub Indo,7.88,"['Horror', 'Mystery', 'Psychological', 'Supernatural']",Popularity: #1447,Members: 68200,Duration: 25 min per ep,Studios: Studio Deen,"Aired: Oct 7, 2006 to Apr 7, 2007"
Nonton Jigoku Shoujo Mitsuganae Sub Indo,7.61,"['Horror', 'Mystery', 'Psychological', 'Supernatural']",Popularity: #2032,Members: 42181,Duration: 24 min per ep,Studios: Studio Deen,"Aired: Oct 4, 2008 to Apr 4, 2009"
Nonton Jigoku Shoujo: Yoi no Togi Sub Indo,6.61,"['Horror', 'Mystery', 'Psychological', 'Supernatural']",Popularity: #2797,Members: 19563,Duration: 23 min per ep,Studios: Studio Deen,"Aired: Jul 15, 2017 to Aug 19, 2017"
Nonton Jigokuraku Sub Indo,8.11,"['Action', 'Adventure', 'Fantasy', 'Gore', 'Historical', 'Samurai', 'Shounen']",Popularity: #306,Members: 349145,Duration: 24 min per ep,Studios: MAPPA,"Aired: Apr 1, 2023 to Jul 1, 2023"
Nonton Jiisan Baasan Wakagaeru Sub Indo,7.13,"['Comedy', 'Romance', 'Supernatural']",Popularity: #2583,Members: 7586,Duration: 24 min per ep,Studios: Gekkou,"Aired: Apr 7, 2024 to ?"
Nonton Jijou wo Shiranai Tenkousei ga Guigui Kuru. Sub Indo,7.52,"['Comedy', 'Romantic Subtext', 'School', 'Shounen']",Popularity: #2704,Members: 29039,Duration: 23 min per ep,Studios: Studio Signpost,"Aired: Apr 9, 2023 to Jul 2, 2023"
Nonton Jikan no Shihaisha Sub Indo,6.3,"['Action', 'Shounen', 'Supernatural']",Popularity: #2615,Members: 21566,Duration: 24 min per ep,Studios: Project No.9,"Aired: Jul 8, 2017 to Sep 30, 2017"
Nonton Jingai-san no Yome Sub Indo,5.79,"['Comedy', 'Fantasy', 'Josei', 'Romance', 'School']",Popularity: #3221,Members: 20171,Duration: 3 min per ep,Studios: Saetta,"Aired: Oct 3, 2018 to Dec 18, 2018"
